Start,End,Speaker,Text
00:01,01:16,therapist," All right, hi everybody. My name is Daniel Garner Quintero. I am one of the licensed mental health counselors at Counseling and Psychological Services here at UCF.  Today I am joined by a fellow student here on campus who is agreed to play a client. We're going to be doing a mock session.  The purpose of this recording is to try to show kind of what a telehealth appointment looks like. Most of our services are going to be based in telehealth through  the foreseeable future, and we understand that that creates a barrier for some people. It can feel intimidating, it can feel uncomfortable, and we prefer the in-person. So we were hoping that this would be an opportunity to kind of dispel any anxiety around that.  So I'm going to allow Prita to introduce herself, and then we're going to dive right into our little mock session. Again, it's important to note that we are  acting this out. This is not a real session. We are not using real information or facts based on anybody's life.  I would also discourage anybody from using any of the interventions you see employed here in your own life without consulting with a mental health professional. Okay. Thanks, Daniel. I'm Pritha Ambu and I'm a rising senior at UCF."
01:16,01:27,Client," And I'm a peer educator at CAPS here, and I thought this would be a cool opportunity to help out CAPS. Yeah, and we're very thankful for it. So thank you, Brita. Thank you."
01:27,01:53,therapist," All right, so we're going to go ahead and dive right in. So Preetha, welcome back. It's been about two weeks since we were last together. I did take a look at some of the scores you filled out on your CCAPs. Thank you for doing that prior to session. And it looks  like they've improved a little bit. So I'm excited to kind of see what's been going on. And I want to check in on your homework. So do you want to start with kind of what's been going on over the last two weeks? Or do you want to start with the homework and the square breathing that I suggested?"
01:53,02:08,Client," Um, so nothing much has changed in terms of what's been happening in my life in the past two weeks, besides like the same school worrying about COVID and what's happening in terms of like my next year of college and graduating."
02:08,02:21,Client," But as for the homework. I felt that sometimes it would work, but there were times when my anxiety would just be like through the roof and like my thoughts are racing and I just couldn't control my thoughts."
02:22,02:33,Client," and my thoughts were like controlling me. So I felt like the square breathing wasn't really helping those issues. Yeah. Okay. So what I'm hearing then is one, things haven't really changed, right? Which is very true. There's a lot of."
02:33,04:40,therapist," the same thing going on every day, right? Right now with us all trying to kind of stay closer to home and kind of try to  practice social distancing and stuff like that. So I think that that's understandable that there haven't been any kind of major transitions or changes.  And it sounds like maybe the square breathing was mildly, moderately successful. There were times where at lower levels, moderate levels of anxiety, we were able to maybe slow that down and dial that back a little bit.  but in really peak times that wasn't as helpful. Yeah.  I think that's understandable, right? When our anxiety gets too high, it almost kind of takes on a life of its own and begins to override some of our normal and natural defenses.  as our body is scrambling to figure out why it feels so fearful, but it can identify something dangerous in that moment. So I think that that's really normal. As I said during our first session, what I like to do is I like to not  encourage too many new things at once because I think it can almost be overwhelming in its own way, okay? So even though it can feel a little frustrating or defeating to see that that skill didn't work for every situation, right?  We're going to slowly build tools into your toolbox, right? And tools are all meant for a specific thing, right? If I gave you a hammer, right, but you needed a screwdriver, then yeah, it's not going to be as successful, right?  So we've got a hammer, the hammer worked with the nails, but it sounds like we might need some other tools, which again, makes sense, right?  So why don't we work on one, exploring some of those situations where it wasn't as helpful to maybe understand and gain a little insight into the anxiety you're feeling in that moment, right? And  From there, I'll try to make some recommendations that might be helpful to, again, add more tools into your toolbox. Does that sound good? Yeah. Okay, great. So talk to me about those times where it sounds like it got a little scary and a little overwhelming. What was going on?"
04:41,04:55,Client," So whenever I felt like my anxiety was through the roof, it would just be when times when I felt like there were so many external factors all piling up at the same time, whether it be emails streaming in about the new changes to campus plans."
04:56,05:08,Client," Like emails from my college about my GPA, from friends about worrying about COVID and its changes and all those factors just like all piling at once and it starts to accumulate."
05:09,05:37,therapist," And it just like builds up so I can't even control it. Yeah. It sounds like it's almost too much information at one time kind of coming at you. Um, and it's overwhelming. Yeah. Yeah. Yeah.  What's it like for you as you start to kind of become flooded with all of that information? Can you describe that for me a little bit more? Yeah, so at the beginning I'll try to kind of"
